|object_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|   fracflux|   fluxlbs|  dfluxlbs|     fwhm|   spread_model|dspread_model|   fluxiso|          xiso|           yiso|          sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|      float|     float|     float|    float|          float|        float|     float|         float|          float|        float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |           |      nMgy|      nMgy|      pix|               |             |          |              |               |         nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|       null|      null|      null|     null|           null|         null|      null|          null|           null|         null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|
          1.1    94.56499 1417.3376 1602.9469   686.3776   0.04758735  0.045276184   19.14345 0.99999994  0.5311822   0.9872838   681.0059  19.515877  2.485058  -0.00050854683  0.0010576466  686.43005    0.011178323    0.0018002301     0.3584364 133.79108 -7.2711587 1342m076    1 1342m076w1o0024816e000   15       1            0          0     0       0 55319.363 55322.473 55320.918  15.414938 0.019549439 
          1.2    123.6835 1417.0219 1627.2053  1492.3517  0.021694658   0.02061294  19.359667 0.99999994  1.3781191   0.9948679  1496.6582  19.738688 2.4843805   -0.0010321736 0.00049615273  1492.3226   0.0025249813     0.008773642    -1.0020748  133.7724  -7.271381 1342m076    1 1342m076w1o0024817e000   15       1            0          0     0       0 55319.363 55322.473 55320.918  14.568236 0.019534046 
          1.3   101.66338 1421.7357 1576.1299  465.11652   0.06928042   0.06577904  18.567936        1.0  1.1618288  0.95567137   464.2422  18.930176 2.4850626    0.0043964386   0.001504175  465.12875   -0.008419799    0.0040299967       0.63493 133.81174 -7.2678185 1342m076    1 1342m076w1o0024900e000   16       1            0          0     0       0 55319.363 55322.473 55320.918  15.840473 0.019591505 
          1.4  108.779335  1423.297 1570.3552  415.63043  0.075822435   0.07249255  18.282234        1.0 0.44329876   0.9350483    419.083  18.650755 2.4898498   0.00023895502  0.0016234973  415.62793    0.009009022     0.011761029    0.57752347 133.81618   -7.26663 1342m076    1 1342m076w1o0024921e000   16       1            0          0     0       0 55319.363 55322.473 55320.918  15.963732 0.019613009 
          1.5    86.38248 1423.6022 1612.8358  214.01575   0.14711647   0.14046116  18.110376 0.99999994 0.91676253   0.9252146  206.77989   18.46767  2.487035     0.004407525  0.0031570657  214.05797    -0.04849344    -0.029140536    0.12782606 133.78346 -7.2663655 1342m076    1 1342m076w1o0024936e000   16       1            0          0     0       0 55319.363 55322.473 55320.918   16.69437 0.019626154 
          1.6   106.53504 1424.9569 1626.5162  107.94107    0.2882208   0.27740985  18.072868  1.0000001  0.7189376  0.88753855  109.06508  18.440926 2.4888308    0.0057790875   0.006220905 107.928566  -0.0072002085    -0.017412487    -0.9312693 133.77293 -7.2653203 1342m076    1 1342m076w1o0024954e000   15       1            0          0     0       0 55319.363 55322.473 55320.918  17.458033 0.019629043 
          1.7     73.5413 1425.5616 1605.1085  508.42355   0.06320683  0.061251484  18.842136        1.0  0.4253589  0.96342266  501.70905  19.211594  2.486413      0.00204432  0.0013920306   508.3993  -0.0128956735    0.0029300754    0.48385924 133.78941  -7.264875 1342m076    1 1342m076w1o0024964e000   15       1            0          0     0       0 55319.363 55322.473 55320.918  15.743011  0.01957126 
          1.8    76.08778  1426.202 1609.6364   96.22777    0.3252302   0.30973864  17.978258  0.9999999 0.39088202   0.7239429     93.224  18.341225 2.4888773    0.0013418794   0.006858561   96.22419 -0.00013367453    -0.046327576    0.24258253 133.78593 -7.2643824 1342m076    1 1342m076w1o0024965e000   16       1            0          0     0       0 55319.363 55322.473 55320.918  17.587845 0.019636367 
          1.9   88.079765 1429.1373 1575.1666   2961.659  0.011592706   0.01099815   20.91582  1.0000001  3.0505273   0.9972229  2960.4448  21.303608 2.4842649  -0.00046944618 0.00027754667  2961.7227    0.004562964     0.006867988    0.48097545 133.81248 -7.2621655 1342m076    1 1342m076w1o0025037e000   15       1            0          0     0       0 55319.363 55322.473 55320.918   13.82263 0.019429268 
         1.10    72.98436 1430.3574 1582.0197 100.713394   0.32181183    0.3090317   18.63955 0.99999994 0.49313825  0.78160214   98.29751  19.010248 2.4851003   -0.0041348934  0.0069491477  100.69224    0.020925378     0.035271827      0.454291  133.8072  -7.261229 1342m076    1 1342m076w1o0025055e000   15       1            0          0     0       0 55319.363 55322.473 55320.918  17.536283 0.019586181 
         1.11   53.578876 1432.4286  1602.651  203.43692   0.15682426   0.15021016  18.443602        1.0 0.67490304   0.6466893  200.38046  18.821865 2.4909565    0.0011407137  0.0033285643   203.4565     0.01906801    -0.011176838    0.35021666 133.79132 -7.2596316 1342m076    1 1342m076w1o0025091e000   16       1            0          0     0       0 55319.363 55322.473 55320.918  16.750486  0.01960081 
         1.12    78.75243 1434.0991 1621.0238  200.09595    0.1564735   0.14987993   18.33311        1.0 0.21317467  0.97765315  196.21336  18.699512 2.4823542    0.0019316077  0.0034799895  200.08606   0.0039022053     0.003467892    -0.3074768 133.77718 -7.2583413 1342m076    1 1342m076w1o0025130e000   15       1            0          0     0       0 55319.363 55322.473 55320.918   16.76883  0.01960915 
         1.13   100.94235 1434.8756 1565.4185  214.09346   0.14955515    0.1436462  18.557323        1.0 0.47106186   0.8608091  219.09781  18.930243 2.4888585   -0.0012739897  0.0031890685  214.06578  -0.0051594498     0.013451158     0.4506135 133.81999 -7.2577896 1342m076    1 1342m076w1o0025146e000   15       1            0          0     0       0 55319.363 55322.473 55320.918  16.693968 0.019592296 
         1.14   46.260223 1434.8368 1595.2405  16102.493 0.0027238498 0.0025548898  29.615046        1.0  13.416578  0.95337963  16104.127  30.073637 2.4859302     0.000438869  8.254781e-05 16101.6045 -0.00013076366     0.007568089     0.3144869 133.79703 -7.2577977 1342m076    1 1342m076w1o0025147e000   14       1            0          0     0       0 55319.363 55322.473 55320.918  11.983037 0.018978762 
         1.15    71.78686 1438.6743 1575.4033 102.852715   0.32349598   0.30943066  19.194122  0.9999999 0.54533243   0.8187207   99.12771  19.570042 2.4909096   -0.0013302565   0.006817214  102.85899     0.03498955     -0.08902663    0.27124333  133.8123  -7.254881 1342m076    1 1342m076w1o0025218e000   14       1            0          0     0       0 55319.363 55322.473 55320.918   17.51253  0.01954581 
         1.16   70.826096 1441.6807  1622.053  227.99828   0.13687584   0.13248678  18.066883        1.0  0.7419046  0.97624445  228.47023  18.428232 2.4848597    0.0075027347  0.0029923825   227.9993   -0.008084246    0.0019693524    -0.4296554 133.77638 -7.2525496 1342m076    1 1342m076w1o0025265e000   16       1            0          0     0       0 55319.363 55322.473 55320.918  16.624388 0.019629505 
         1.17   88.703125 1443.3938 1566.9501   3388.008  0.010441356  0.010098675  21.777468  1.0000001  2.7204535   0.8814228  3392.8398  22.175486 2.4855576  -0.00022441149 0.00025545174  3388.7434   0.0111343125    -0.012201319     0.2029061 133.81882 -7.2512817 1342m076    1 1342m076w1o0025279e000   15       1            0          0     0       0 55319.363 55322.473 55320.918  13.676421 0.019375326 
         1.18    27.73975 1444.0034 1605.0618   976.8228  0.032734342  0.031086374  18.768246 0.99999994  0.7589291   0.9758956    966.209  19.145464 2.4822123   0.00093847513 0.00073360733  976.84467   0.0026006037    0.0027750684   -0.19827695 133.78947  -7.250788 1342m076    1 1342m076w1o0025293e000   16       1            0          0     0       0 55319.363 55322.473 55320.918  15.029916 0.019576678 
