|object_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|  fracflux|   fluxlbs|  dfluxlbs|     fwhm|  spread_model|dspread_model|   fluxiso|          xiso|          yiso|         sky|       ra|      dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|     float|     float|     float|    float|         float|        float|     float|         float|         float|       float|    float|    float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |          |      nMgy|      nMgy|      pix|              |             |          |              |              |        nMgy|      deg|      deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|      null|      null|      null|     null|          null|         null|      null|          null|          null|        null|     null|     null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|
          1.1   41.133976 267.98914 366.07266  1478.2817   0.02711302  0.026857046  23.787693  0.9999999    1.45462  0.9730243  1476.4236  24.258665 2.4941554  -7.581711e-05  0.0006082071  1478.2878  -0.0029756483  -0.0013511414  0.045344237 26.970234  23.65304 0264p242    1 0264p242w1o0003274e000   11       1            0          0     0       0 55213.777 55216.355 55215.066  14.578548 0.019259011 
          1.2   24.311607 270.75854 354.26965  186.80829   0.21058543   0.20848638  22.858791  0.9999999 0.40986335 0.85064834  182.78297  23.324059   2.49984    0.002097249   0.004466529  186.80855   0.0067806835    0.018961437  -0.20955364 26.980085  23.65512 0264p242    1 0264p242w1o0003307e000   11       1            0          0     0       0 55213.777 55216.355 55215.066   16.84501 0.019311216 
          1.3   26.611568 272.67844 349.33646   350.6362  0.112922154  0.111713514  23.004868        1.0  0.7470472  0.9601253  341.51666   23.47193  2.502432  0.00046521425  0.0023680562  350.63937   -0.007589876   0.0136228325  -0.45855537 26.984205 23.656572 0264p242    1 0264p242w1o0003336e000   11       1            0          0     0       0 55213.777 55216.355 55215.066  16.150314 0.019302838 
          1.4   14.474302  277.3332 361.20578   642.6594  0.061838116  0.061267607  23.219679 0.99999994  0.5048074  0.8716953   635.2518  23.687193 2.5000417   0.0020625591  0.0013212693   642.6394    0.013772808    0.041024134  -0.27924097 26.974323 23.660162 0264p242    1 0264p242w1o0003390e000   11       1            0          0     0       0 55213.777 55216.355 55215.066  15.486827 0.019290635 
          1.5   26.739912 279.12183  346.6229  195.84848   0.20177622   0.19973092  23.160677 0.99999994 0.37018228  0.9257498  199.33455   23.62958 2.5000474   0.0062518716   0.004382402  195.82774   0.0010374679   -0.012010553   -1.0438267  26.98649 23.661486 0264p242    1 0264p242w1o0003413e000   10       1            0          0     0       0 55213.777 55216.355 55215.066  16.792604 0.019293973 
          1.6  0.87831515  279.6703 356.38605  2937.9165  0.014060003 0.0139493905  24.824362        1.0  3.6525035 0.97762567  2932.1765   25.30369 2.5033457   0.0012370348 0.00031610663  2938.0347    -0.00686241    0.017446637   -0.6429966  26.97835 23.661934 0264p242    1 0264p242w1o0003427e000   11       1            0          0     0       0 55213.777 55216.355 55215.066  13.831381 0.019203572 
          1.7   31.302246 285.21735 346.58777  349.63837  0.113236874   0.11249279  23.257622        1.0  0.3575519  0.9440686  347.69266  23.729797 2.5018487    0.000954926  0.0024212874   349.5952    0.008859864   -0.010896928   -1.5677048  26.98654 23.666142 0264p242    1 0264p242w1o0003492e000   10       1            0          0     0       0 55213.777 55216.355 55215.066  16.153444 0.019288493 
          1.8   56.389893 291.25018 373.05084   165.4573   0.23699896   0.23463635   22.81245        1.0 0.71865296 0.99898523  169.73457  23.279415 2.4965863   -0.008771837     0.0052296  165.48672     0.19331563   -0.053440556  -0.75371563  26.96449 23.670828 0264p242    1 0264p242w1o0003565e000   11       1            0          0     0       0 55213.777 55216.355 55215.066  16.979856 0.019313887 
          1.9   48.941624 295.82776 363.08554  132.05058    0.2975982   0.29347035   22.78306        1.0  0.6937911 0.98462033  142.57121  23.250383 2.4956353  -0.0073519945   0.006480334  132.13405    -0.08966763    -0.56501573   -1.0877496 26.972816 23.674294 0264p242    1 0264p242w1o0003624e000   11       1            0          0     0       0 55213.777 55216.355 55215.066  17.231546 0.019315584 
         1.10   55.028603 263.89313 343.63528  106.68029   0.36999014    0.3683969  22.931067        1.0 0.59704506 0.91822433  99.514885  23.393208 2.4997027  -0.0054461956   0.007932083  106.65743      0.2900153    -0.20782283  -0.23481975  26.98893 23.649845 0264p242    1 0264p242w1o0026338e000   11       1            0          0     0       0 55213.777 55216.355 55215.066  17.471283 0.019307062 
         1.11   25.183413 270.22202 357.05176 117.079636    0.3422278   0.33152387   23.25296  0.9999999  0.5889581 0.74251676 112.012596  23.722586 2.4961278   -0.009067297  0.0075610518  117.14969    -0.08486951    -0.15145485  -0.10735986 26.977764 23.654718 0264p242    1 0264p242w1o0026349e000   10       1            0          0     0       0 55213.777 55216.355 55215.066  17.366539 0.019288756 
         1.12    27.08318  272.0313 362.93243  128.04576    0.3103617   0.30427963   22.93515        1.0  0.3914726  0.6825163 121.683975   23.39556 2.4941616 -0.00053942204   0.006671565  128.05823   -0.008072413   -0.021234913  -0.07247532 26.972866 23.656118 0264p242    1 0264p242w1o0026358e000   11       1            0          0     0       0 55213.777 55216.355 55215.066  17.266045 0.019306827 
         1.13   35.920876 283.44662 343.93933   174.2423   0.23130345   0.22915918  23.057852        1.0  0.5846417 0.83165884  174.05664  23.509089 2.4992085 -0.00022953749  0.0047718533  173.94626    -0.15510106    0.096528314    -1.643263 26.988743  23.66478 0264p242    1 0264p242w1o0026388e000   11       1            0          0     0       0 55213.777 55216.355 55215.066   16.92233 0.019299814 
